BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","MASSARO2019101827","Massaro, Maria","Is business lobbying in the European Union context-dependent? Evidence from the policy field of radio spectrum","Telecommunications Policy",43,10,"","101827",2019,"","ITS Seoul 2018","http://www.sciencedirect.com/science/article/pii/S030859611830315X","","","","","","","","","","","","","This paper investigates contextual factors which impact on how business lobbying is carried out in radio spectrum policy in the European Union (EU). Based on the empirical evidence collected by means of ten expert interviews, the following considerations are drawn: first, the European Commission (hereafter “the Commission”) weighs highly information provided by corporate stakeholders which is in line with the EU objective to promote EU-wide coordinated use of radio spectrum. Second, the way the Council of the EU (hereafter “the Council”) is lobbied at EU level is unclear because of lack of transparency in the Council. Third, radio spectrum policy issues require niche expertise to be addressed because of high degree of complexity. Fourth, radio spectrum policy issues are characterised by low degree of salience as they are too technical for the wider public. Although centred on the EU context, the issues raised in this study, such as lack of transparency and civil society underrepresentation, are not unique to the EU system. In this respect, comparative studies between the EU and other institutional contexts may contribute to a better understanding of variation in business lobbying.","","Business interest groups, European Union, Institutions, Policy issues, Radio spectrum","",""
7,"","MCTIGUE202016","McTigue, Clare; Rye, Tom; Monios, Jason","Identifying barriers to implementation of local transport policy – Lessons learned from case studies on bus policy implementation in Great Britain","Transport Policy",91,,"","16 - 25",2020,"","","http://www.sciencedirect.com/science/article/pii/S0967070X19301507","","","","","","","","","","","","","Previous work by the authors has addressed the issue of local bus policy implementation in Britain outside London by studies of local transport documents, survey and interviews of local transport officers working in local authorities. The findings from these studies highlight that some of the key elements to successful implementation could be understood in more depth by taking a case study approach. This paper analyses four case studies of the implementation of specific bus policy measures in four different cities in Great Britain: the Quality Contract Scheme (QCS) in Tyne and Wear, the Fastlink Scheme in Glasgow, a Bus Priority Scheme in Solihull and a Smart Ticketing Scheme in Dundee. The findings in this paper show that policy champions, collaboration and interaction help to build a relationship between the parties involved, ensure limited changes due to bureaucratic power and changes to the policy, and help to overcome opposition, conflict and ambiguities. It is important that those involved in the policy process are provided with relevant training, supervision and support to help overcome the staffing difficulties and to deal with barriers external to the implementing organisation such as economic, social and political conditions.","","Transport policy, Implementation, Bus, Case study, Great britain, UK","",""
7,"","MONIOS2019295","Monios, Jason","Geographies of governance in the freight transport sector: The British case","Transportation Research Part A: Policy and Practice",121,,"","295 - 308",2019,"","","http://www.sciencedirect.com/science/article/pii/S0965856417316026","","","","","","","","","","","","","This paper explores the changing geography of governance in the British freight transport sector. Policy and regulation have evolved in a neoliberal direction based on private sector provision of transport services, resulting in a much smaller role for the public sector. An exploration of the intersection between the previous institutional settings and the unfolding regulatory frameworks across water, rail and road modes of freight transport suggests that the differences in each mode also influence the levers available to address issues as they arise. The economic characteristics of the road haulage sector keep the system responsive to user needs, whereas the lack of a port regulator encourages rent seeking. The rail regulator intervenes in cases of anti-competitive practice but cannot prevent an oligopolistic market structure and relies on ongoing subsidy as road haulage does not pay its full share of external costs. A distinctive British geography of governance is revealed in the different liberalisation pathway it has followed compared to continental European countries. A key conclusion is that governance analysis must include not merely the formal governance arrangements but the ability and willingness to apply suitable instruments to regulate the market to maximize economic welfare.","","Governance, Freight transport, Policy, Regulation, Privatisation, Neoliberal, Maritime, Rail, Road","",""
7,"","MULLEY2018568","Mulley, Corinne; Kronsell, Annica","Workshop 7 report: The “uberisation” of public transport and mobility as a service (MaaS): Implications for future mainstream public transport","Research in Transportation Economics",69,,"","568 - 572",2018,"","Competition and Ownership in Land Passenger Transport (selected papers from the Thredbo 15 conference)","http://www.sciencedirect.com/science/article/pii/S0739885918302075","","","","","","","","","","","","","This paper synthesizes evidence from Workshop 7 ‘The “uberisation” of public transport and mobility as a service (MaaS): implications for future mainstream public transport’ of the 15th International Conference on Competition and Ownership in Land Passenger Transport. Workshop 7 was specifically concerned with the way in which the widespread adoption of portable and/or wearable internet-connected devices such as smartphones has opened up new possibilities in the transport sector. These are referred to as ‘uberisation’ by some and the creation of Mobility as a Service (MaaS) by others. In some cities and countries, these new services have been welcomed and even facilitated, while in others there have been clashes with regulators as well as with incumbent operators. Workshop 7 considered how these new services might be integrated into the market and whether more widespread development of ride-hailing or ride-sharing might lead to new ways of creating flexible and truly on-demand urban bus services, or alternatively would the way public transport is organized and financed ultimately be disrupted so that what is viable in terms of competition, contracts and governance would need to be reconsidered. The Workshop presented evidence and undertook discussion that could be considered under four themes: conceptual; the role of MaaS in the uncertain future, including the new digital era; the experience of flexible transport in developing countries as compared to Australia and finally, how MaaS might provide for community needs. Over and above the detail provided by the evidence in papers, the Workshop discussion identified a tension between policy formulation and operator viewpoints, the need for flexibility in developing contracts, the importance of partnership in developing MaaS packages, including bundling mobility with other services provided by government and a need to address consumer protection issues. The Workshop developed a long list of areas worthy of further research including understanding how to move travel behaviour from ownership to mobility as a service, a need for further pilots to develop the evidence base, defining the regulatory frameworks and understanding pricing strategies.","","Uberisation, Mobility as a Service (MaaS), Bundling, Community transport, Regulatory frameworks, Digital future, Business models","",""
7,"","POULSEN201883","Poulsen, René Taudal; Ponte, Stefano; Sornn-Friese, Henrik","Environmental upgrading in global value chains: The potential and limitations of ports in the greening of maritime transport","Geoforum",89,,"","83 - 95",2018,"","","http://www.sciencedirect.com/science/article/pii/S0016718518300174","","","","","","","","","","","","","Ports are crucial hubs in the functioning of the global economy, and maritime transport is a major emitter of air pollutants. Ports have considerable potential for promoting environmental upgrading in maritime transport and along global value chains more generally, but so far have been only partially successful in doing so. We examine results, limitations and future potential of voluntary initiatives that have been carried out by selected European and North American port authorities, which are considered frontrunners in environmental management. Drawing from the insights of global value chain analysis and organizational theory, we find that low ‘tool implementation complexity’ and high ‘issue visibility’ concerning emissions are key facilitators of environmental upgrading. We suggest that ports can intervene in two main ways to improve the environmental performance of maritime transport beyond their organizational and physical boundaries: by lowering tool implementation complexity through stronger collaboration within global value chains; and by enhancing emission visibility through alliances with cargo-owners and regulators.","","Environmental upgrading, Ports, Maritime transport, Global value chains, Emission visibility, Tool implementation complexity","",""
7,"","READ2019352","Read, G. J. M.; Naweed, A.; Salmon, P. M.","Complexity on the rails: A systems-based approach to understanding safety management in rail transport","Reliability Engineering & System Safety",188,,"","352 - 365",2019,"","","http://www.sciencedirect.com/science/article/pii/S0951832018311773","","","","","","","","","","","","","Rail transport is a complex, safety-critical system which experiences catastrophic events. Systems theory-based approaches have been applied to understand risk and safety management in a range of safety-critical domains, however in rail, systems approaches have tended to be applied for accident analysis, rather than to describe how risk and safety is proactively managed. This study involved the development of a control structure model of rail transport in Australia using the Systems Theoretic Accident Model and Processes (STAMP) method. The control structure identifies the actors involved in managing safety, and shows the control and feedback mechanisms that comprise the adaptive feedback function to maintain safety. The control structure was refined in a participative process involving subject matter experts. Insights identified for improving safety management included: a need to improve feedback mechanisms to better understand the effectiveness of control measures; a lack of formal controls at higher levels of the system; and a focus within current feedback mechanisms on failures rather than understanding and learning from normal performance. Opportunities for applying the model in industry practice are also explored.","","Safety management, Risk management, STAMP, Rail transport","",""
7,"","RYE2018196","Rye, Tom; Monios, Jason; Hrelja, Robert; Isaksson, Karolina","The relationship between formal and informal institutions for governance of public transport","Journal of Transport Geography",69,,"","196 - 206",2018,"","","http://www.sciencedirect.com/science/article/pii/S0966692318300346","","","","","","","","","","","","","The purpose of this paper is to understand the relationship between the formal (governance established in law) and informal institutions (governance not established in law) that underpin the planning, operation and improvement of local and regional public transport, by using case studies of four countries: Britain (more specifically England, outside London); the Netherlands; Germany; and Sweden. The paper uses a framework drawn from the literature on institutional change to analyse the interplay between the formal governance structures and the other actors and organisations that have an influence on public transport, the formal and informal relationships between them, and how informal institutions emerge to increase the effectiveness with which public transport is delivered. By selecting countries with some similarities in institutional structure, it is possible to explore how relationships can differ even within a relatively similar overall framework for public transport. Drawing on qualitative research with actors in the different countries, the research explores how informal institutions help actors negotiate the constraints of formal, statutory institutions. Findings reveal that informal institutions smooth the critical interfaces where formal institutions were producing sub-optimal public transport, thus providing evidence that the two modes of governance are, in fact, highly complementary.","","Governance, Formal, Informal, Institutions, Organisations, Passenger transport, Public transport, Collaboration","",""
7,"","SALMON2019100067","Salmon, Paul M.; Read, Gemma J. M.; Stevens, Nicholas; Walker, Guy H.; Beanland, Vanessa; McClure, Rod; Hughes, Brett; Johnston, Ian R.; Stanton, Neville A.","Using the abstraction hierarchy to identify how the purpose and structure of road transport systems contributes to road trauma","Transportation Research Interdisciplinary Perspectives",3,,"","100067",2019,"","","http://www.sciencedirect.com/science/article/pii/S2590198219300661","","","","","","","","","","","","","Research is beginning to demonstrate the merits of considering the broader road transport system when attempting to understand and prevent road trauma. This study involved the use of Work Domain Analysis, a systems analysis method, to develop a model of a road transport system based on Queensland, Australia. The model was subsequently used to identify the system wide contributory factors that play a role in road crashes, and to identify aspects of road transport systems that could be exploited when developing road safety interventions. The findings show that there are a set of crash contributory factors relating to the raison d'etre, values, and functions of road transport systems. This suggests that further significant reductions in road trauma will only be achieved through fundamental changes to the road transport system itself. Examples discussed include reducing the emphasis on the use of road transport for economic growth, reducing motor vehicle use and increasing active transport modes, and overhauling road safety strategies.","","Systems thinking, Work domain analysis, Abstraction hierarchy, Road transport, Road safety","",""
7,"","SANDSTROM2019100463","Sandström, Ulf G.; Elander, Ingemar","Biodiversity, road transport and urban planning: A Swedish local authority facing the challenge of establishing a logistics hub adjacent to a Natura 2000 site","Progress in Planning",,,"","100463",2019,"","","http://www.sciencedirect.com/science/article/pii/S0305900619300388","","","","","","","","","","","","","The aim of the article is to analyse and reflect upon the process and outcome of a potential clash between urban biodiversity and road transport interests in the Swedish city of Örebro, as a case of planning in the face of conflict. Combining an application of multilevel governance theory with negotiation planning and narrative method, it examines the siting of a huge warehouse and “logistics centre” at the edge of a Natura 2000 site on the outskirts of the city. Despite the city’s ambitious environmental goals and sustainability profile, the local authority decided to offer the company a site adjacent to a wetland area intended for preserving and developing biodiversity. After an intervention by the central state County Administrative Board [länsstyrelsen], the local authority had to implement certain security measures, and also reserve an additional, large natural land area to compensate for the threats to the Natura 2000 site. Before the final decision was made, a series of negotiations occurred between the involved actors, mainly the local authority, the multinational Sonepar Group/Elektroskandia and the County Administrative Board, and the case is a fruitful target for a multifaceted analysis illuminating the tension between the goals of preserving urban biodiversity and promoting road transport and urban growth. It also offers an inside view of the negotiation and planning process. The key issue is how the siting of a potentially hazardous, transport intensive national warehouse in a city renowned for its high environmental-protection profile was possible. Considering Sweden’s high-profile regarding sustainability, the selected case also offers food for reflection on the potentials and barriers of implementing ecological modernization more generally. The lessons learned from an examination of the local authority’s attempt to harmonize such diverse policy priorities as urban biodiversity and intensive road transport for economic growth, on a site adjacent to a Natura 2000 wetlands area, may help enable urban planners and scholars to find creative policy solutions, avoid causing damage to biodiversity, and increase ecosystem values in terms of residents’ and other visitors’ experience and understanding of nature. However, at the end of the article we address the question of whether our empirical conclusion is not “too good to be true”, and raise concerns regarding the intricate relationship between sustainability and resilience; the systemic power exerted by the global Sonepar Group/Elektroskandia; and the potentials and limits of public negotiation planning.","","Multilevel governance, Negotiation planning, Narrative method, Biodiversity, Natura 2000, Road transport","",""
7,"","SCHAAFFKAMP2018218","Schaaffkamp, Christoph","Do direct awards lead to better public transport?","Research in Transportation Economics",69,,"","218 - 226",2018,"","Competition and Ownership in Land Passenger Transport (selected papers from the Thredbo 15 conference)","http://www.sciencedirect.com/science/article/pii/S0739885917302755","","","","","","","","","","","","","The best public transport with regard to patronage numbers operates in Switzerland, with a demand that is much higher in Swiss than in comparable European cities. Further analysis reveals that, although the overall level of financial support for the public transport is very high in Switzerland, subsidies per passenger are comparatively low. It is a similar story in cities in England with very successful bus operators. Public transport in Switzerland is a public service provided mostly by companies in public ownership. Due to the lack of competitive pressure one would expect a rather moderate focus on passengers and innovations, if any at all, as well as lower levels of efficiency. The opposite is true. Based on qualitative interviews, the model developed for the explanation of this success shows that the framework conditions favour stable, intrinsic motivation on the part of management and employees in public transport. This includes the central elements of: direct democracy, decision-making and budgeting at local level, together with non-commercial, local companies directly involved in the design of the public transport system, as well as a confidence-based management culture both with respect to and within the company. The success factors of the public transport system in Innsbruck (Austria) are structurally quite similar and confirm the explanatory model.","","State ownership, Public transport, Direct award, Switzerland, Competitive tendering","",""
7,"","TURKOWSKI2019103057","Turkowski, Mateusz; Szudarek, Maciej","Pipeline system for transporting consumer goods, parcels and mail in capsules","Tunnelling and Underground Space Technology",93,,"","103057",2019,"","","http://www.sciencedirect.com/science/article/pii/S0886779818311532","","","","","","","","","","","","","The aim of the paper is to investigate a concept of a pipeline transport system that employs stationary linear induction motors to propel lightweight capsules. Theoretical considerations on optimal solutions as well as modelling of the system behavior is presented. The idea is to adapt existing pipeline construction technologies to achieve cost-effectiveness. For that reason usage of guiding/powering rails is excluded and the pipe is of circular shape. The proposed capsule dimensions are diameter of ca. 1.4 m and length of ca. 2.8 m. The exact dimensions would depend on the existing logistic chains, e.g. pallets that are used. The main findings of the article are developed dimensionless groups, computational fluid dynamics model of a capsule moving in a pipeline and an analytical model of capsule dynamics. Dimensionless groups have been verified using the model of capsule dynamics. Grid sensitivity study has been done and iterative convergence errors have been assessed for the computational fluid dynamics model. Parametric study has been conducted for a range of capsule velocities and pressure differences acting on a capsule. Results allowed describing the rate of air leaking between the capsule and pipe in an analytical form. The influence of viscous forces has been shown to be negligible in comparison to pressure forces. Developed tools allow studying various scenarios before construction of an experimental stand. It is of scientific and practical significance for any research team that would continue the study on pipeline transport systems.","","Underground freight transport, Capsule pipelines","",""
7,"","VANGEET201984","[van Geet], Marijn Thomas; Lenferink, Sander; Arts, Jos; Leendertse, Wim","Understanding the ongoing struggle for land use and transport integration: Institutional incongruence in the Dutch national planning process","Transport Policy",73,,"","84 - 100",2019,"","","http://www.sciencedirect.com/science/article/pii/S0967070X18303263","","","","","","","","","","","","","Formal and informal institutions help shape processes of planning, as ‘rules of the game’. However, institutions do not always align. As a result of changes in strategy and operation, institutional incongruence can emerge as old and new institutions conflict or as actors perceive and apply institutions in a different manner. In this article, we aim to gain insight in the concept of institutional incongruence and the way it shapes transport planning policy and implementation. To this end, we analyse the role of institutional congruence in the case of land use transport integration (LUTI) in the Netherlands. Although LUTI creates opportunities for beneficial synergies and helps avoid unwanted consequences, such as project time and project cost overruns, examples of successful deployment remain scarce. Through an institutional analysis of the Dutch national Planning, Programming and Budgeting (PPB) System for road infrastructure, we assess the ways in which LUTI is enabled or obstructed by formal and informal institutions. The one-year research project involves a triangulation of literature research, policy analysis, 22 expert interviews, focus groups and workshops. The findings illustrate that strategy and operation each present distinct formal and informal institutional incongruence that negatively influence land-use transport integration. We conclude that institutional incongruence is several instances of institutional incongruence can be found throughout the Dutch national planning process. These are partly inevitable because institutional change occurs gradually to reflect developments in society and manifests itself in both formal and informal rules. Therefore we recommend that, in order to achieve LUTI, the full institutional configuration of formal and informal rules, at strategic and operational level should be analysed, redesigned and aligned.","","Land use transport integration, Institutional incongruence, PPB system, Institutional analysis","",""
